Country,LFPrate,HDIrank,literacyRate,developState,state
Costa Rica,46.7,69,95.053,High Human Development,light
Turkmenistan,47.1,109,98.913,Medium Human Development,light
Argentina,47.6,40,96.207,High Human Development,light
Belgium,47.6,21,99,High Human Development,light
Nicaragua,47.7,125,77.259,Medium Human Development,light
Bulgaria,48,59,97.845,High Human Development,light
El Salvador,48.1,116,80.35,Medium Human Development,light
Uzbekistan,48.2,114,98.749,Medium Human Development,light
Poland,48.9,36,99.107,High Human Development,light
Romania,49,52,96.485,High Human Development,light
Panama,49.1,60,90.248,High Human Development,light
Belize,49.4,101,70.328,High Human Development,light
Chile,49.4,42,95.699,High Human Development,light
Guatemala,49.5,128,66.297,Medium Human Development,light
Belarus,50.3,50,98.514,High Human Development,light
Luxembourg,50.6,19,100,High Human Development,light
Qatar,50.7,32,90.849,High Human Development,light
Philippines,51.1,115,91.598,Medium Human Development,light
Czech Republic,51.3,28,99,High Human Development,light
Dominican Republic,51.4,101,87.055,High Human Development,light
Cabo Verde,51.9,122,69.199,Medium Human Development,light
Brunei Darussalam,52.2,31,84.064,High Human Development,light
Slovenia,52.2,25,99.585,High Human Development,light
Trinidad and Tobago,53.1,64,96.331,High Human Development,light
Ireland,53.1,6,99,High Human Development,light
Tonga,53.5,100,99.254,High Human Development,light
Ukraine,53.5,81,99.437,High Human Development,light
Germany,53.7,6,99,High Human Development,light
Armenia,54.5,85,99.001,High Human Development,light
Ecuador,55,88,87.032,High Human Development,light
Namibia,55.2,126,78.609,Medium Human Development,light
Latvia,55.2,46,99.607,High Human Development,light
Finland,55.4,24,100,High Human Development,light
Uruguay,55.8,52,97.751,High Human Development,light
Paraguay,55.9,112,90.023,Medium Human Development,light
Lithuania,56,37,99.088,High Human Development,light
Jamaica,56.1,99,89.17,High Human Development,light
Cyprus,56.2,32,94.733,High Human Development,light
Estonia,56.3,30,99.745,High Human Development,light
Gabon,56.5,110,73.838,Medium Human Development,light
Georgia,56.8,76,99.631,High Human Development,light
Mongolia,57,90,97.933,High Human Development,light
Russian Federation,57.1,50,98.545,High Human Development,light
Israel,57.7,18,88.675,High Human Development,light
Netherlands,58.3,5,96.8,High Human Development,light
Denmark,58.7,4,99,High Human Development,light
Lesotho,59.1,161,88.505,Low Human Development,light
Tajikistan,59.1,129,98.516,Medium Human Development,light
Brazil,59.4,75,88.598,High Human Development,light
Haiti,61.1,163,43.995,Low Human Development,light
Vanuatu,61.5,134,67.954,Medium Human Development,light
Switzerland,61.8,3,99,High Human Development,light
Kenya,62.4,145,72.378,Low Human Development,light
Azerbaijan,63.1,78,99.474,High Human Development,light
Angola,63.5,149,56.933,Low Human Development,light
Cameroon,64,153,53.915,Low Human Development,light
Sierra Leone,65.6,181,29.556,Low Human Development,light
Barbados,65.8,57,99.7,High Human Development,light
Senegal,66.1,170,32.131,Low Human Development,light
Bhutan,66.9,132,38.681,Medium Human Development,light
Kazakhstan,67.9,56,98.371,High Human Development,light
Guinea-Bissau,68.3,178,27.152,Low Human Development,light
Peru,68.4,84,82.686,High Human Development,light
Bahamas,69.3,55,96.5,High Human Development,light
Iceland,70.3,16,99,High Human Development,light
Papua New Guinea,70.4,158,56.011,Low Human Development,light
Congo,70.7,136,72.877,Medium Human Development,light
Botswana,71.9,106,80.281,Medium Human Development,light
Gambia,72.2,175,34.839,Low Human Development,light
Zambia,73,139,57.697,Medium Human Development,light
Myanmar,75.1,148,82.916,Low Human Development,light
Uganda,75.7,163,58.475,Low Human Development,light
Cambodia,78.7,143,64.458,Medium Human Development,light
Eritrea,80.1,186,51.448,Low Human Development,light
Togo,80.6,162,43.604,Low Human Development,light
Equatorial Guinea,80.7,138,86.861,Medium Human Development,light
